,P,Exp P,Log P,Log Exp P
2199000,1.08e-06,1.1018744647644788e-07,5.967,6.958
9722116,1.09e-06,2.2037489295289575e-07,5.963,6.657
8584424,1.2e-06,3.305623394293436e-07,5.921,6.481
2199005,1.2e-06,4.407497859057915e-07,5.921,6.356
5731973,2e-06,5.509372323822393e-07,5.699,6.259
5731972,2.02e-06,6.611246788586872e-07,5.695,6.18
4198047,2.21e-06,7.713121253351351e-07,5.656,6.113
8099615,2.43e-06,8.81499571811583e-07,5.614,6.055
8099605,2.63e-06,9.91687018288031e-07,5.58,6.004
8584413,3.17e-06,1.1018744647644787e-06,5.499,5.958
8584426,3.17e-06,1.2120619112409267e-06,5.499,5.916
8099606,3.49e-06,1.3222493577173745e-06,5.457,5.879
8584435,3.63e-06,1.4324368041938225e-06,5.44,5.844
8584442,3.64e-06,1.5426242506702702e-06,5.439,5.812
8584428,3.66e-06,1.652811697146718e-06,5.437,5.782
8584465,4.01e-06,1.762999143623166e-06,5.397,5.754
8549076,4.12e-06,1.8731865900996138e-06,5.385,5.727
8099611,4.29e-06,1.983374036576062e-06,5.368,5.703
8099457,4.64e-06,2.0935614830525096e-06,5.333,5.679
8584473,4.69e-06,2.2037489295289574e-06,5.329,5.657
8099601,4.71e-06,2.313936376005405e-06,5.327,5.636
8099612,4.73e-06,2.4241238224818534e-06,5.325,5.615
8584458,4.76e-06,2.534311268958301e-06,5.322,5.596
8099619,4.77e-06,2.644498715434749e-06,5.321,5.578
8099592,4.79e-06,2.7546861619111967e-06,5.32,5.56
7821669,5.06e-06,2.864873608387645e-06,5.296,5.543
8099628,5.49e-06,2.9750610548640927e-06,5.26,5.527
8099594,5.58e-06,3.0852485013405405e-06,5.253,5.511
8099398,5.71e-06,3.1954359478169883e-06,5.243,5.495
1958122,5.71e-06,3.305623394293436e-06,5.243,5.481
6244743,5.76e-06,3.4158108407698842e-06,5.24,5.467
9338737,5.9e-06,3.525998287246332e-06,5.229,5.453
9338716,6.27e-06,3.63618573372278e-06,5.203,5.439
9338731,6.28e-06,3.7463731801992276e-06,5.202,5.426
3045032,6.72e-06,3.856560626675675e-06,5.173,5.414
7821659,7.23e-06,3.966748073152124e-06,5.141,5.402
8099627,7.34e-06,4.076935519628571e-06,5.134,5.39
8099363,7.5e-06,4.187122966105019e-06,5.125,5.378
8099629,7.57e-06,4.297310412581467e-06,5.121,5.367
8099394,7.79e-06,4.407497859057915e-06,5.108,5.356
5731977,7.88e-06,4.517685305534363e-06,5.103,5.345
