,P,Exp P,Log P,Log Exp P
6220887,5.1199999999999995e-28,1.1014005519558726e-07,27.291,6.958
6220878,2.77e-23,2.2028011039117452e-07,22.558,6.657
6220875,5.88e-23,3.304201655867618e-07,22.231,6.481
6220868,1.69e-18,4.4056022078234904e-07,17.772,6.356
6220873,1.73e-18,5.507002759779363e-07,17.762,6.259
6220864,2.11e-18,6.608403311735236e-07,17.676,6.18
6220862,2.28e-18,7.709803863691108e-07,17.642,6.113
6220876,2.16e-17,8.811204415646981e-07,16.666,6.055
6220867,3.58e-17,9.912604967602853e-07,16.446,6.004
6220871,4.06e-17,1.1014005519558726e-06,16.391,5.958
6220881,7.15e-17,1.2115406071514599e-06,16.146,5.917
6220889,7.5e-17,1.3216806623470471e-06,16.125,5.879
6220938,1.46e-16,1.4318207175426344e-06,15.836,5.844
6220941,4.04e-15,1.5419607727382216e-06,14.394,5.812
6220983,1.44e-14,1.6521008279338089e-06,13.842,5.782
6220951,2.96e-14,1.7622408831293962e-06,13.529,5.754
6220916,4.41e-14,1.8723809383249834e-06,13.356,5.728
6220920,6.32e-14,1.9825209935205707e-06,13.199,5.703
6220982,2.8e-13,2.092661048716158e-06,12.553,5.679
6220903,8.19e-13,2.202801103911745e-06,12.087,5.657
6221016,1.03e-12,2.3129411591073324e-06,11.987,5.636
6220906,1.81e-12,2.4230812143029197e-06,11.742,5.616
6220959,2.07e-12,2.533221269498507e-06,11.684,5.596
6220974,2.11e-12,2.6433613246940942e-06,11.676,5.578
6220995,9.85e-12,2.7535013798896815e-06,11.007,5.56
6220980,1.76e-11,2.8636414350852687e-06,10.754,5.543
6220917,4.67e-11,2.973781490280856e-06,10.331,5.527
6221001,4.11e-10,3.0839215454764433e-06,9.386,5.511
6220967,6.04e-10,3.1940616006720305e-06,9.219,5.496
8352743,1.92e-09,3.3042016558676178e-06,8.717,5.481
8352734,2.15e-09,3.414341711063205e-06,8.668,5.467
8352752,2.4e-09,3.5244817662587923e-06,8.62,5.453
6220961,2.41e-09,3.6346218214543796e-06,8.618,5.44
8352666,2.54e-09,3.744761876649967e-06,8.595,5.427
8352733,2.61e-09,3.8549019318455545e-06,8.583,5.414
8352732,2.66e-09,3.965041987041141e-06,8.575,5.402
8352634,2.94e-09,4.075182042236729e-06,8.532,5.39
8352742,3.04e-09,4.185322097432316e-06,8.517,5.378
8352656,3.21e-09,4.2954621526279035e-06,8.493,5.367
8352648,3.42e-09,4.40560220782349e-06,8.466,5.356
8352639,3.56e-09,4.515742263019078e-06,8.449,5.345
8352638,3.75e-09,4.625882318214665e-06,8.426,5.335
8352629,5.67e-09,4.736022373410253e-06,8.246,5.325
8352747,5.86e-09,4.846162428605839e-06,8.232,5.315
8352680,6.24e-09,4.956302483801427e-06,8.205,5.305
8352750,6.35e-09,5.066442538997014e-06,8.197,5.295
8352746,6.6e-09,5.176582594192602e-06,8.18,5.286
8352764,6.74e-09,5.2867226493881885e-06,8.171,5.277
8352723,6.78e-09,5.396862704583776e-06,8.169,5.268
8352736,6.96e-09,5.507002759779363e-06,8.157,5.259
8352759,7.3e-09,5.617142814974951e-06,8.137,5.25
8352762,7.3e-09,5.7272828701705375e-06,8.137,5.242
8352761,7.46e-09,5.837422925366125e-06,8.127,5.234
8352760,7.7e-09,5.947562980561712e-06,8.114,5.226
6221025,8.04e-09,6.0577030357573e-06,8.095,5.218
8352707,9.25e-09,6.1678430909528865e-06,8.034,5.21
8352690,1.01e-08,6.277983146148474e-06,7.996,5.202
8352730,1.02e-08,6.388123201344061e-06,7.991,5.195
8352741,1.33e-08,6.498263256539649e-06,7.876,5.187
6220859,1.75e-08,6.6084033117352356e-06,7.757,5.18
6220858,1.97e-08,6.718543366930823e-06,7.706,5.173
8352802,2.43e-08,6.82868342212641e-06,7.614,5.166
6220852,2.58e-08,6.938823477321998e-06,7.588,5.159
6220897,2.71e-08,7.048963532517585e-06,7.567,5.152
6220895,3.5e-08,7.159103587713172e-06,7.456,5.145
8352767,3.7e-08,7.269243642908759e-06,7.432,5.139
8352765,4.48e-08,7.379383698104347e-06,7.349,5.132
6220907,5.83e-08,7.489523753299934e-06,7.234,5.126
6221020,6.16e-08,7.599663808495521e-06,7.21,5.119
8352757,6.84e-08,7.709803863691109e-06,7.165,5.113
8352796,7.46e-08,7.819943918886695e-06,7.127,5.107
8352782,9.78e-08,7.930083974082283e-06,7.01,5.101
8352774,1.03e-07,8.04022402927787e-06,6.987,5.095
8352809,1.09e-07,8.150364084473458e-06,6.963,5.089
8352651,1.14e-07,8.260504139669044e-06,6.943,5.083
8352773,1.2e-07,8.370644194864632e-06,6.921,5.077
8352784,1.46e-07,8.48078425006022e-06,6.836,5.072
6220948,1.79e-07,8.590924305255807e-06,6.747,5.066
6220935,1.96e-07,8.701064360451393e-06,6.708,5.06
6220931,2e-07,8.81120441564698e-06,6.699,5.055
6220985,2.11e-07,8.921344470842568e-06,6.676,5.05
6220984,2.11e-07,9.031484526038156e-06,6.676,5.044
6220898,2.17e-07,9.141624581233742e-06,6.664,5.039
6220922,2.22e-07,9.25176463642933e-06,6.654,5.034
6220956,2.24e-07,9.361904691624917e-06,6.65,5.029
6220957,2.33e-07,9.472044746820505e-06,6.633,5.024
6220975,2.47e-07,9.582184802016091e-06,6.607,5.019
6220918,2.58e-07,9.692324857211679e-06,6.588,5.014
6221006,2.61e-07,9.802464912407267e-06,6.583,5.009
