,P,Exp P,Log P,Log Exp P
7909356,6.31e-25,1.161317175230684e-07,24.2,6.935
7909337,1.04e-24,2.322634350461368e-07,23.983,6.634
7909341,1.35e-24,3.483951525692052e-07,23.87,6.458
7909342,1.52e-24,4.645268700922736e-07,23.818,6.333
7909351,1.7599999999999998e-24,5.80658587615342e-07,23.754,6.236
7909332,1.7999999999999997e-24,6.967903051384104e-07,23.745,6.157
7909445,2.26e-24,8.129220226614789e-07,23.646,6.09
7909436,2.57e-24,9.290537401845472e-07,23.59,6.032
7909365,5.0999999999999995e-24,1.0451854577076156e-06,23.292,5.981
7909377,7.03e-24,1.161317175230684e-06,23.153,5.935
7909443,1.37e-23,1.2774488927537525e-06,22.863,5.894
7909424,1.3799999999999998e-23,1.3935806102768208e-06,22.86,5.856
7909417,1.43e-23,1.5097123277998893e-06,22.845,5.821
7909441,1.85e-23,1.6258440453229577e-06,22.733,5.789
7909402,1.92e-23,1.741975762846026e-06,22.717,5.759
7909386,2.03e-23,1.8581074803690945e-06,22.693,5.731
7909491,1.1100000000000001e-21,1.9742391978921627e-06,20.955,5.705
7909430,1.13e-21,2.090370915415231e-06,20.947,5.68
7909458,1.9000000000000006e-21,2.2065026329382997e-06,20.721,5.656
7909437,2.95e-21,2.322634350461368e-06,20.53,5.634
7909450,3.08e-21,2.4387660679844366e-06,20.511,5.613
7909466,5.21e-21,2.554897785507505e-06,20.283,5.593
7909467,5.730000000000001e-21,2.671029503030573e-06,20.242,5.573
7909474,6.28e-21,2.7871612205536416e-06,20.202,5.555
7909476,1.01e-20,2.90329293807671e-06,19.996,5.537
7909485,1.02e-20,3.0194246555997785e-06,19.991,5.52
7909495,1.11e-20,3.135556373122847e-06,19.955,5.504
7909435,2.58e-20,3.2516880906459155e-06,19.588,5.488
7909440,3.27e-20,3.3678198081689835e-06,19.485,5.473
7909426,1.89e-19,3.483951525692052e-06,18.724,5.458
7909427,2.05e-19,3.6000832432151205e-06,18.688,5.444
7909428,2.14e-19,3.716214960738189e-06,18.67,5.43
7909453,7.13e-19,3.832346678261257e-06,18.147,5.417
7909452,8.4e-19,3.9484783957843255e-06,18.076,5.404
7909454,8.98e-19,4.064610113307394e-06,18.047,5.391
7909455,9.23e-19,4.180741830830462e-06,18.035,5.379
7909374,9.61e-19,4.296873548353531e-06,18.017,5.367
7909457,1.1e-18,4.413005265876599e-06,17.959,5.355
7909380,1.59e-18,4.529136983399668e-06,17.799,5.344
7909370,1.93e-18,4.645268700922736e-06,17.714,5.333
7909382,2.64e-18,4.761400418445805e-06,17.578,5.322
7909366,2.69e-18,4.877532135968873e-06,17.57,5.312
7909383,2.99e-18,4.993663853491942e-06,17.524,5.302
7909362,3.45e-18,5.10979557101501e-06,17.462,5.292
7909340,3.8e-18,5.225927288538078e-06,17.42,5.282
7909314,3.81e-18,5.342059006061146e-06,17.419,5.272
7909363,4.15e-18,5.458190723584215e-06,17.382,5.263
7909361,4.28e-18,5.574322441107283e-06,17.369,5.254
7909460,4.39e-18,5.690454158630352e-06,17.358,5.245
