,P,Exp P,Log P,Log Exp P
6224341,2.22e-12,1.1009906824259537e-07,11.654,6.958
6224332,1.51e-09,2.2019813648519073e-07,8.821,6.657
6224329,4.28e-09,3.302972047277861e-07,8.369,6.481
6224327,2.3e-08,4.4039627297038146e-07,7.638,6.356
6224318,3.05e-08,5.504953412129768e-07,7.516,6.259
6224322,3.09e-08,6.605944094555722e-07,7.51,6.18
6224316,3.76e-08,7.706934776981676e-07,7.425,6.113
6224343,8.4e-08,8.807925459407629e-07,7.076,6.055
8356583,8.58e-08,9.908916141833583e-07,7.067,6.004
6224321,1.06e-07,1.1009906824259536e-06,6.975,5.958
8356604,1.45e-07,1.2110897506685491e-06,6.839,5.917
6224393,1.71e-07,1.3211888189111445e-06,6.767,5.879
8356599,2.07e-07,1.4312878871537398e-06,6.684,5.844
8356600,2.12e-07,1.5413869553963352e-06,6.674,5.812
8356602,2.12e-07,1.6514860236389305e-06,6.674,5.782
8356601,2.14e-07,1.7615850918815258e-06,6.67,5.754
8356587,2.52e-07,1.8716841601241212e-06,6.599,5.728
6224325,2.66e-07,1.9817832283667165e-06,6.575,5.703
8356581,3.19e-07,2.091882296609312e-06,6.496,5.679
8356607,6.61e-07,2.201981364851907e-06,6.18,5.657
8356593,7.21e-07,2.312080433094503e-06,6.142,5.636
8881244,7.69e-07,2.4221795013370983e-06,6.114,5.616
8881451,8.48e-07,2.5322785695796936e-06,6.072,5.596
8881247,9.05e-07,2.642377637822289e-06,6.043,5.578
8356577,9.46e-07,2.7524767060648843e-06,6.024,5.56
8881167,9.73e-07,2.8625757743074797e-06,6.012,5.543
8356498,9.91e-07,2.972674842550075e-06,6.004,5.527
8356582,1.01e-06,3.0827739107926703e-06,5.996,5.511
8356476,1.05e-06,3.1928729790352657e-06,5.979,5.496
8880559,1.09e-06,3.302972047277861e-06,5.963,5.481
8881062,1.1e-06,3.4130711155204563e-06,5.959,5.467
8356643,1.12e-06,3.5231701837630517e-06,5.951,5.453
8881445,1.16e-06,3.633269252005647e-06,5.936,5.44
8880945,1.18e-06,3.7433683202482424e-06,5.928,5.427
6224438,1.19e-06,3.853467388490838e-06,5.924,5.414
8881270,1.19e-06,3.963566456733433e-06,5.924,5.402
8880555,1.26e-06,4.073665524976029e-06,5.9,5.39
8356605,1.28e-06,4.183764593218624e-06,5.893,5.378
8356490,1.31e-06,4.2938636614612195e-06,5.883,5.367
8881219,1.4e-06,4.403962729703814e-06,5.854,5.356
8356508,1.44e-06,4.51406179794641e-06,5.842,5.345
