,P,Exp P,Log P,Log Exp P
8723781,5.19e-141,1.1604646407584425e-07,140.285,6.935
8723782,8.96e-136,2.320929281516885e-07,135.048,6.634
8723819,2.0599999999999997e-84,3.4813939222753275e-07,83.686,6.458
8723823,2.37e-82,4.64185856303377e-07,81.625,6.333
8723786,2.62e-67,5.802323203792213e-07,66.582,6.236
8723745,3.87e-59,6.962787844550655e-07,58.412,6.157
8723749,4.08e-56,8.123252485309098e-07,55.389,6.09
8723780,5.05e-41,9.28371712606754e-07,40.297,6.032
8723737,2.86e-39,1.0444181766825982e-06,38.544,5.981
8723796,1.75e-35,1.1604646407584426e-06,34.757,5.935
8723789,3.1800000000000004e-35,1.2765111048342868e-06,34.498,5.894
8723716,2.46e-32,1.392557568910131e-06,31.609,5.856
8723784,2.95e-32,1.5086040329859754e-06,31.53,5.821
8615658,9.36e-26,1.6246504970618196e-06,25.029,5.789
8615667,1.08e-25,1.7406969611376638e-06,24.967,5.759
8615661,1.09e-25,1.856743425213508e-06,24.963,5.731
8615685,1.58e-25,1.9727898892893524e-06,24.801,5.705
8615684,4.22e-25,2.0888363533651964e-06,24.375,5.68
8615633,1.02e-22,2.204882817441041e-06,21.991,5.657
8615668,1.06e-22,2.3209292815168852e-06,21.975,5.634
8615634,1.08e-22,2.4369757455927292e-06,21.967,5.613
344112,2.5300000000000003e-22,2.5530222096685736e-06,21.597,5.593
8615642,2.55e-22,2.669068673744418e-06,21.593,5.574
8615670,2.65e-22,2.785115137820262e-06,21.577,5.555
8615646,9.16e-22,2.9011616018961064e-06,21.038,5.537
344109,1.3e-21,3.017208065971951e-06,20.886,5.52
8615630,2.0000000000000002e-21,3.133254530047795e-06,20.699,5.504
8615647,3.56e-21,3.2493009941236392e-06,20.449,5.488
8615649,3.83e-21,3.3653474581994832e-06,20.417,5.473
8723811,3.88e-21,3.4813939222753276e-06,20.411,5.458
8615653,3.96e-21,3.597440386351172e-06,20.402,5.444
8615648,4.040000000000001e-21,3.713486850427016e-06,20.394,5.43
8615655,4.3100000000000004e-21,3.8295333145028605e-06,20.366,5.417
8615650,4.4e-21,3.945579778578705e-06,20.357,5.404
8615654,4.6300000000000004e-21,4.061626242654549e-06,20.334,5.391
8615660,4.66e-21,4.177672706730393e-06,20.332,5.379
8615657,5.3200000000000004e-21,4.293719170806237e-06,20.274,5.367
8615656,6.610000000000001e-21,4.409765634882082e-06,20.18,5.356
8615695,1.42e-20,4.525812098957926e-06,19.848,5.344
8615682,2.68e-20,4.6418585630337705e-06,19.572,5.333
8615636,3.52e-20,4.757905027109615e-06,19.453,5.323
8615674,4.14e-20,4.8739514911854584e-06,19.383,5.312
8723838,4.42e-20,4.989997955261303e-06,19.355,5.302
344118,4.59e-20,5.106044419337147e-06,19.338,5.292
8615652,6.55e-20,5.222090883412992e-06,19.184,5.282
344113,7.48e-20,5.338137347488836e-06,19.126,5.273
344119,1.21e-19,5.45418381156468e-06,18.917,5.263
8723712,3.36e-19,5.570230275640524e-06,18.474,5.254
8723853,3.5e-19,5.6862767397163685e-06,18.456,5.245
8723714,1.54e-18,5.802323203792213e-06,17.812,5.236
8615640,2.19e-18,5.918369667868057e-06,17.66,5.228
8615635,3.52e-18,6.034416131943902e-06,17.453,5.219
8615643,3.53e-18,6.150462596019745e-06,17.452,5.211
8723790,6.83e-18,6.26650906009559e-06,17.166,5.203
8723791,1.11e-17,6.382555524171434e-06,16.955,5.195
344106,2.4e-17,6.4986019882472785e-06,16.62,5.187
8723707,5.22e-17,6.614648452323123e-06,16.282,5.179
8723708,5.33e-17,6.7306949163989665e-06,16.273,5.172
8615663,5.95e-17,6.846741380474811e-06,16.225,5.165
8615686,6.58e-17,6.962787844550655e-06,16.182,5.157
8615671,7.22e-17,7.0788343086265e-06,16.141,5.15
8615672,7.81e-17,7.194880772702344e-06,16.107,5.143
8615632,1.51e-16,7.310927236778188e-06,15.821,5.136
8615631,1.54e-16,7.426973700854032e-06,15.812,5.129
8615687,1.7e-16,7.5430201649298765e-06,15.77,5.122
8615629,1.9e-16,7.659066629005721e-06,15.721,5.116
8615666,2.04e-15,7.775113093081565e-06,14.69,5.109
8615692,2.13e-15,7.89115955715741e-06,14.672,5.103
344129,2.14e-15,8.007206021233254e-06,14.67,5.097
344131,3.07e-15,8.123252485309099e-06,14.513,5.09
8723522,3.51e-15,8.239298949384943e-06,14.455,5.084
344134,4.29e-15,8.355345413460786e-06,14.368,5.078
344135,5.84e-15,8.47139187753663e-06,14.234,5.072
344128,6.53e-15,8.587438341612474e-06,14.185,5.066
8723771,1.06e-14,8.703484805688319e-06,13.975,5.06
8723750,2.26e-14,8.819531269764163e-06,13.646,5.055
