,P,Exp P,Log P,Log Exp P
1365792,8.22e-07,1.1235789675455339e-07,6.085,6.949
1365791,1.03e-06,2.2471579350910677e-07,5.987,6.648
1217458,1.21e-06,3.3707369026366016e-07,5.917,6.472
1365757,1.49e-06,4.4943158701821355e-07,5.827,6.347
1365783,1.64e-06,5.617894837727669e-07,5.785,6.25
1365786,1.7e-06,6.741473805273203e-07,5.77,6.171
1365776,1.7e-06,7.865052772818737e-07,5.77,6.104
1365768,2.01e-06,8.988631740364271e-07,5.697,6.046
1365618,2.41e-06,1.0112210707909805e-06,5.618,5.995
1217280,2.42e-06,1.1235789675455339e-06,5.616,5.949
1365728,2.52e-06,1.2359368643000873e-06,5.599,5.908
1365607,2.54e-06,1.3482947610546406e-06,5.595,5.87
1365670,2.84e-06,1.460652657809194e-06,5.547,5.835
1365662,2.91e-06,1.5730105545637474e-06,5.536,5.803
1217544,2.92e-06,1.6853684513183008e-06,5.535,5.773
1365698,2.96e-06,1.7977263480728542e-06,5.529,5.745
1217500,3.02e-06,1.9100842448274078e-06,5.52,5.719
1217479,3.05e-06,2.022442141581961e-06,5.516,5.694
1217495,3.08e-06,2.1348000383365146e-06,5.511,5.671
1217551,3.47e-06,2.2471579350910677e-06,5.46,5.648
1217601,3.59e-06,2.3595158318456213e-06,5.445,5.627
2203422,3.63e-06,2.4718737286001745e-06,5.44,5.607
1365753,3.67e-06,2.584231625354728e-06,5.435,5.588
1217474,3.75e-06,2.6965895221092813e-06,5.426,5.569
2203844,3.77e-06,2.808947418863835e-06,5.424,5.551
7464909,3.93e-06,2.921305315618388e-06,5.406,5.534
1217341,3.99e-06,3.0336632123729416e-06,5.399,5.518
6020415,4.09e-06,3.146021109127495e-06,5.388,5.502
1365630,4.4e-06,3.2583790058820484e-06,5.357,5.487
1365718,4.56e-06,3.3707369026366016e-06,5.341,5.472
1365515,4.67e-06,3.483094799391155e-06,5.331,5.458
922026,4.69e-06,3.5954526961457084e-06,5.329,5.444
1217314,4.96e-06,3.707810592900262e-06,5.305,5.431
1365528,5e-06,3.8201684896548156e-06,5.301,5.418
2203331,5.33e-06,3.932526386409368e-06,5.273,5.405
1217497,5.55e-06,4.044884283163922e-06,5.256,5.393
774328,5.99e-06,4.1572421799184755e-06,5.223,5.381
1217466,6.25e-06,4.269600076673029e-06,5.204,5.37
1217476,6.32e-06,4.381957973427582e-06,5.199,5.358
1217470,6.42e-06,4.4943158701821355e-06,5.192,5.347
1217463,6.48e-06,4.606673766936689e-06,5.188,5.337
1217468,6.52e-06,4.719031663691243e-06,5.186,5.326
1217484,6.54e-06,4.831389560445795e-06,5.184,5.316
1217477,6.54e-06,4.943747457200349e-06,5.184,5.306
1217485,6.56e-06,5.056105353954903e-06,5.183,5.296
1217486,6.57e-06,5.168463250709456e-06,5.182,5.287
1217488,6.61e-06,5.280821147464009e-06,5.18,5.277
1217503,6.61e-06,5.3931790442185625e-06,5.18,5.268
1217490,6.61e-06,5.505536940973116e-06,5.18,5.259
1217493,6.64e-06,5.61789483772767e-06,5.178,5.25
2203254,7.38e-06,5.7302527344822225e-06,5.132,5.242
1365696,7.84e-06,5.842610631236776e-06,5.106,5.233
1217496,8.1e-06,5.95496852799133e-06,5.092,5.225
9314662,8.35e-06,6.067326424745883e-06,5.078,5.217
1217469,9.46e-06,6.179684321500436e-06,5.024,5.209
1217483,9.47e-06,6.29204221825499e-06,5.024,5.201
1217480,9.49e-06,6.404400115009543e-06,5.023,5.194
1217481,9.53e-06,6.516758011764097e-06,5.021,5.186
1217487,9.56e-06,6.62911590851865e-06,5.02,5.179
2203284,9.62e-06,6.741473805273203e-06,5.017,5.171
1217467,1.02e-05,6.853831702027757e-06,4.991,5.164
1217473,1.02e-05,6.96618959878231e-06,4.991,5.157
1217489,1.04e-05,7.078547495536863e-06,4.983,5.15
1365526,1.06e-05,7.190905392291417e-06,4.975,5.143
1365539,1.13e-05,7.30326328904597e-06,4.947,5.136
6046761,1.18e-05,7.415621185800524e-06,4.928,5.13
9183480,1.29e-05,7.527979082555077e-06,4.889,5.123
155537,1.29e-05,7.640336979309631e-06,4.889,5.117
8416470,1.39e-05,7.752694876064183e-06,4.857,5.111
1365516,1.48e-05,7.865052772818737e-06,4.83,5.104
1217669,1.6e-05,7.97741066957329e-06,4.796,5.098
7244195,1.61e-05,8.089768566327844e-06,4.793,5.092
2013011,1.63e-05,8.202126463082397e-06,4.788,5.086
7244209,1.73e-05,8.314484359836951e-06,4.762,5.08
774330,1.8e-05,8.426842256591505e-06,4.745,5.074
1365530,1.85e-05,8.539200153346058e-06,4.733,5.069
4900631,1.92e-05,8.65155805010061e-06,4.717,5.063
155558,2.02e-05,8.763915946855164e-06,4.695,5.057
1217443,2.03e-05,8.876273843609717e-06,4.693,5.052
7337029,2.07e-05,8.988631740364271e-06,4.684,5.046
155578,2.17e-05,9.100989637118825e-06,4.664,5.041
9055149,2.17e-05,9.213347533873378e-06,4.664,5.036
9055148,2.2e-05,9.325705430627932e-06,4.658,5.03
155541,2.21e-05,9.438063327382485e-06,4.656,5.025
7337024,2.22e-05,9.550421224137037e-06,4.654,5.02
7337030,2.23e-05,9.66277912089159e-06,4.652,5.015
4457617,2.29e-05,9.775137017646144e-06,4.64,5.01
2406452,2.31e-05,9.887494914400698e-06,4.636,5.005
6645623,2.32e-05,9.999852811155252e-06,4.635,5.0
8609651,2.35e-05,1.0112210707909805e-05,4.629,4.995
9183012,2.39e-05,1.0224568604664359e-05,4.622,4.99
7005746,2.4e-05,1.0336926501418912e-05,4.62,4.986
