,P,Exp P,Log P,Log Exp P
7825786,3.19e-07,1.1016417657070155e-07,6.496,6.958
7825760,3.63e-07,2.203283531414031e-07,6.44,6.657
7825785,3.67e-07,3.3049252971210463e-07,6.435,6.481
4199182,1.21e-06,4.406567062828062e-07,5.917,6.356
1242499,1.21e-06,5.508208828535078e-07,5.917,6.259
7824382,1.42e-06,6.609850594242093e-07,5.848,6.18
7825757,1.42e-06,7.711492359949108e-07,5.848,6.113
9053859,1.75e-06,8.813134125656124e-07,5.757,6.055
1242320,2.42e-06,9.91477589136314e-07,5.616,6.004
5487113,2.65e-06,1.1016417657070156e-06,5.577,5.958
5487230,2.7e-06,1.211805942277717e-06,5.569,5.917
5487226,2.79e-06,1.3219701188484185e-06,5.554,5.879
5487228,2.81e-06,1.4321342954191202e-06,5.551,5.844
7825243,2.82e-06,1.5422984719898216e-06,5.55,5.812
5487201,2.83e-06,1.6524626485605233e-06,5.548,5.782
7825260,2.88e-06,1.7626268251312248e-06,5.541,5.754
7825266,2.88e-06,1.8727910017019264e-06,5.541,5.728
8551575,2.91e-06,1.982955178272628e-06,5.536,5.703
1242586,2.92e-06,2.0931193548433293e-06,5.535,5.679
1242541,3.02e-06,2.203283531414031e-06,5.52,5.657
1242520,3.05e-06,2.3134477079847327e-06,5.516,5.636
1242536,3.08e-06,2.423611884555434e-06,5.511,5.616
5487162,3.28e-06,2.5337760611261356e-06,5.484,5.596
1242593,3.47e-06,2.643940237696837e-06,5.46,5.578
7824499,3.5e-06,2.754104414267539e-06,5.456,5.56
1242647,3.59e-06,2.8642685908382404e-06,5.445,5.543
2246852,3.63e-06,2.974432767408942e-06,5.44,5.527
8551545,3.72e-06,3.0845969439796433e-06,5.429,5.511
1242515,3.75e-06,3.194761120550345e-06,5.426,5.496
2247274,3.77e-06,3.3049252971210466e-06,5.424,5.481
7617563,3.93e-06,3.415089473691748e-06,5.406,5.467
7825779,3.96e-06,3.5252536502624495e-06,5.402,5.453
1242381,3.99e-06,3.6354178268331514e-06,5.399,5.439
8551649,4.17e-06,3.745582003403853e-06,5.38,5.426
7825129,4.33e-06,3.855746179974554e-06,5.364,5.414
7824525,4.45e-06,3.965910356545256e-06,5.352,5.402
5487147,4.47e-06,4.076074533115958e-06,5.35,5.39
5487184,4.61e-06,4.186238709686659e-06,5.336,5.378
7825114,4.61e-06,4.2964028862573605e-06,5.336,5.367
7825119,4.62e-06,4.406567062828062e-06,5.335,5.356
7825084,4.63e-06,4.5167312393987634e-06,5.334,5.345
7825010,4.65e-06,4.626895415969465e-06,5.333,5.335
7825011,4.65e-06,4.737059592540166e-06,5.333,5.324
940071,4.69e-06,4.847223769110868e-06,5.329,5.315
7825042,4.76e-06,4.95738794568157e-06,5.322,5.305
7824629,4.77e-06,5.067552122252271e-06,5.321,5.295
9424136,4.8e-06,5.177716298822973e-06,5.319,5.286
7824995,4.81e-06,5.287880475393674e-06,5.318,5.277
7824548,4.9e-06,5.398044651964376e-06,5.31,5.268
1242354,4.96e-06,5.508208828535078e-06,5.305,5.259
5487140,5e-06,5.618373005105779e-06,5.301,5.25
7825291,5.24e-06,5.728537181676481e-06,5.281,5.242
8165739,5.25e-06,5.838701358247183e-06,5.28,5.234
7825305,5.27e-06,5.948865534817884e-06,5.278,5.226
8551278,5.32e-06,6.0590297113885855e-06,5.274,5.218
2246761,5.33e-06,6.1691938879592865e-06,5.273,5.21
9424147,5.38e-06,6.279358064529988e-06,5.269,5.202
7824752,5.53e-06,6.38952224110069e-06,5.257,5.195
7824777,5.53e-06,6.499686417671391e-06,5.257,5.187
7825121,5.54e-06,6.609850594242093e-06,5.256,5.18
1242538,5.55e-06,6.720014770812794e-06,5.256,5.173
7824820,5.55e-06,6.830178947383496e-06,5.256,5.166
7824817,5.58e-06,6.940343123954198e-06,5.253,5.159
7824632,5.58e-06,7.050507300524899e-06,5.253,5.152
7824990,5.6e-06,7.160671477095601e-06,5.252,5.145
7824858,5.65e-06,7.270835653666303e-06,5.248,5.138
7824884,5.95e-06,7.380999830237004e-06,5.225,5.132
7824913,5.97e-06,7.491164006807706e-06,5.224,5.125
5487142,5.98e-06,7.601328183378407e-06,5.223,5.119
7824782,6.16e-06,7.711492359949108e-06,5.21,5.113
1242507,6.25e-06,7.82165653651981e-06,5.204,5.107
1242517,6.32e-06,7.931820713090511e-06,5.199,5.101
1242511,6.42e-06,8.041984889661213e-06,5.192,5.095
7824185,6.43e-06,8.152149066231915e-06,5.192,5.089
7824477,6.45e-06,8.262313242802617e-06,5.19,5.083
1242504,6.48e-06,8.372477419373317e-06,5.188,5.077
1242509,6.52e-06,8.48264159594402e-06,5.186,5.071
1242518,6.54e-06,8.592805772514721e-06,5.184,5.066
1242525,6.54e-06,8.702969949085423e-06,5.184,5.06
1242526,6.56e-06,8.813134125656125e-06,5.183,5.055
1242527,6.57e-06,8.923298302226825e-06,5.182,5.049
1242529,6.61e-06,9.033462478797527e-06,5.18,5.044
1242544,6.61e-06,9.143626655368229e-06,5.18,5.039
1242531,6.61e-06,9.25379083193893e-06,5.18,5.034
1242534,6.64e-06,9.363955008509633e-06,5.178,5.029
7824847,6.65e-06,9.474119185080333e-06,5.177,5.023
7824491,7.18e-06,9.584283361651035e-06,5.144,5.018
7824354,7.24e-06,9.694447538221736e-06,5.14,5.013
9424135,7.37e-06,9.804611714792438e-06,5.133,5.009
2246684,7.38e-06,9.91477589136314e-06,5.132,5.004
6930687,7.7e-06,1.002494006793384e-05,5.114,4.999
9424146,7.83e-06,1.0135104244504542e-05,5.106,4.994
9424145,7.92e-06,1.0245268421075244e-05,5.101,4.989
9424144,7.97e-06,1.0355432597645946e-05,5.099,4.985
1242537,8.1e-06,1.0465596774216648e-05,5.092,4.98
9500792,8.35e-06,1.0575760950787348e-05,5.078,4.976
9424149,8.48e-06,1.068592512735805e-05,5.072,4.971
7825738,8.69e-06,1.0796089303928752e-05,5.061,4.967
5487100,8.79e-06,1.0906253480499454e-05,5.056,4.962
9424167,8.94e-06,1.1016417657070156e-05,5.049,4.958
6665855,9.16e-06,1.1126581833640857e-05,5.038,4.954
5487148,9.18e-06,1.1236746010211558e-05,5.037,4.949
7825541,9.23e-06,1.134691018678226e-05,5.035,4.945
9424153,9.27e-06,1.1457074363352961e-05,5.033,4.941
7824557,9.29e-06,1.1567238539923663e-05,5.032,4.937
7824555,9.31e-06,1.1677402716494365e-05,5.031,4.933
7825518,9.34e-06,1.1787566893065065e-05,5.03,4.929
1242510,9.46e-06,1.1897731069635767e-05,5.024,4.925
1242524,9.47e-06,1.2007895246206469e-05,5.024,4.921
9424142,9.49e-06,1.2118059422777171e-05,5.023,4.917
1242521,9.49e-06,1.2228223599347873e-05,5.023,4.913
1242522,9.53e-06,1.2338387775918573e-05,5.021,4.909
1242528,9.56e-06,1.2448551952489275e-05,5.02,4.905
2246714,9.62e-06,1.2558716129059977e-05,5.017,4.901
7825575,9.9e-06,1.2668880305630679e-05,5.004,4.897
5487111,9.92e-06,1.277904448220138e-05,5.003,4.894
7825535,9.97e-06,1.288920865877208e-05,5.001,4.89
7825677,1e-05,1.2999372835342783e-05,5.0,4.886
1242514,1.02e-05,1.3109537011913484e-05,4.991,4.882
1242508,1.02e-05,1.3219701188484186e-05,4.991,4.879
7824611,1.02e-05,1.3329865365054888e-05,4.991,4.875
1242530,1.04e-05,1.3440029541625588e-05,4.983,4.872
7825633,1.05e-05,1.355019371819629e-05,4.979,4.868
5487112,1.05e-05,1.3660357894766992e-05,4.979,4.865
7825665,1.05e-05,1.3770522071337694e-05,4.979,4.861
7824621,1.08e-05,1.3880686247908396e-05,4.967,4.858
7825650,1.08e-05,1.3990850424479096e-05,4.967,4.854
7825654,1.09e-05,1.4101014601049798e-05,4.963,4.851
7825652,1.09e-05,1.42111787776205e-05,4.963,4.847
7824141,1.11e-05,1.4321342954191202e-05,4.955,4.844
6930689,1.12e-05,1.4431507130761904e-05,4.951,4.841
7825606,1.16e-05,1.4541671307332606e-05,4.936,4.837
7825607,1.19e-05,1.4651835483903306e-05,4.924,4.834
6665802,1.19e-05,1.4761999660474008e-05,4.924,4.831
7825551,1.2e-05,1.487216383704471e-05,4.921,4.828
7825625,1.2e-05,1.4982328013615411e-05,4.921,4.824
5487171,1.21e-05,1.5092492190186113e-05,4.917,4.821
7825613,1.21e-05,1.5202656366756813e-05,4.917,4.818
7824344,1.22e-05,1.5312820543327517e-05,4.914,4.815
6561671,1.23e-05,1.5422984719898215e-05,4.91,4.812
7825747,1.24e-05,1.5533148896468917e-05,4.907,4.809
9424168,1.25e-05,1.564331307303962e-05,4.903,4.806
9367074,1.29e-05,1.575347724961032e-05,4.889,4.803
9424172,1.32e-05,1.5863641426181023e-05,4.879,4.8
9424173,1.32e-05,1.5973805602751725e-05,4.879,4.797
7825629,1.34e-05,1.6083969779322427e-05,4.873,4.794
5487189,1.34e-05,1.619413395589313e-05,4.873,4.791
7825582,1.38e-05,1.630429813246383e-05,4.86,4.788
8586661,1.39e-05,1.6414462309034532e-05,4.857,4.785
7825462,1.4e-05,1.6524626485605234e-05,4.854,4.782
7825492,1.42e-05,1.6634790662175933e-05,4.848,4.779
7824214,1.44e-05,1.6744954838746635e-05,4.842,4.776
9424154,1.44e-05,1.6855119015317336e-05,4.842,4.773
9649224,1.45e-05,1.696528319188804e-05,4.839,4.77
1197161,1.45e-05,1.707544736845874e-05,4.839,4.768
7824716,1.46e-05,1.7185611545029442e-05,4.836,4.765
6561670,1.47e-05,1.7295775721600144e-05,4.833,4.762
7824175,1.5e-05,1.7405939898170846e-05,4.824,4.759
7824810,1.52e-05,1.7516104074741548e-05,4.818,4.757
1197036,1.55e-05,1.762626825131225e-05,4.81,4.754
6561662,1.57e-05,1.7736432427882948e-05,4.804,4.751
7825488,1.6e-05,1.784659660445365e-05,4.796,4.748
1242715,1.6e-05,1.7956760781024352e-05,4.796,4.746
7392430,1.61e-05,1.8066924957595054e-05,4.793,4.743
7825461,1.66e-05,1.8177089134165756e-05,4.78,4.74
7825459,1.66e-05,1.8287253310736458e-05,4.78,4.738
5487220,1.69e-05,1.839741748730716e-05,4.772,4.735
7824134,1.7e-05,1.850758166387786e-05,4.77,4.733
7392444,1.73e-05,1.8617745840448563e-05,4.762,4.73
7824218,1.76e-05,1.8727910017019265e-05,4.754,4.728
1197919,1.78e-05,1.8838074193589964e-05,4.75,4.725
5487067,1.82e-05,1.8948238370160665e-05,4.74,4.722
9424316,1.86e-05,1.9058402546731367e-05,4.73,4.72
9424319,1.87e-05,1.916856672330207e-05,4.728,4.717
4998344,1.92e-05,1.927873089987277e-05,4.717,4.715
9649171,1.92e-05,1.9388895076443473e-05,4.717,4.712
7825644,1.99e-05,1.9499059253014175e-05,4.701,4.71
1242483,2.03e-05,1.9609223429584877e-05,4.693,4.708
9649177,2.12e-05,1.971938760615558e-05,4.674,4.705
7825734,2.14e-05,1.982955178272628e-05,4.67,4.703
9236364,2.17e-05,1.9939715959296982e-05,4.664,4.7
6930690,2.19e-05,2.004988013586768e-05,4.66,4.698
6561653,2.2e-05,2.0160044312438383e-05,4.658,4.696
9236363,2.2e-05,2.0270208489009085e-05,4.658,4.693
6930716,2.31e-05,2.0380372665579786e-05,4.636,4.691
7957300,2.32e-05,2.0490536842150488e-05,4.635,4.688
6781229,2.32e-05,2.060070101872119e-05,4.635,4.686
8783079,2.35e-05,2.0710865195291892e-05,4.629,4.684
9366595,2.39e-05,2.0821029371862594e-05,4.622,4.681
7392394,2.41e-05,2.0931193548433296e-05,4.618,4.679
6930694,2.45e-05,2.1041357725003998e-05,4.611,4.677
6930702,2.47e-05,2.1151521901574696e-05,4.607,4.675
8783069,2.47e-05,2.1261686078145398e-05,4.607,4.672
2247255,2.48e-05,2.13718502547161e-05,4.606,4.67
8783080,2.51e-05,2.1482014431286802e-05,4.6,4.668
4998340,2.53e-05,2.1592178607857504e-05,4.597,4.666
6930703,2.58e-05,2.1702342784428206e-05,4.588,4.663
737913,2.59e-05,2.1812506960998907e-05,4.587,4.661
761786,2.59e-05,2.192267113756961e-05,4.587,4.659
7954427,2.6e-05,2.203283531414031e-05,4.585,4.657
6930711,2.63e-05,2.2142999490711013e-05,4.58,4.655
9367065,2.66e-05,2.2253163667281715e-05,4.575,4.653
5487121,2.67e-05,2.2363327843852413e-05,4.573,4.65
7973531,2.71e-05,2.2473492020423115e-05,4.567,4.648
7973527,2.72e-05,2.2583656196993817e-05,4.565,4.646
6561666,2.73e-05,2.269382037356452e-05,4.564,4.644
6930713,2.73e-05,2.280398455013522e-05,4.564,4.642
9424201,2.73e-05,2.2914148726705923e-05,4.564,4.64
6930710,2.74e-05,2.3024312903276625e-05,4.562,4.638
2247013,2.75e-05,2.3134477079847327e-05,4.561,4.636
9053864,2.75e-05,2.324464125641803e-05,4.561,4.634
3521102,2.77e-05,2.335480543298873e-05,4.558,4.632
6930712,2.81e-05,2.346496960955943e-05,4.551,4.63
6930699,2.87e-05,2.357513378613013e-05,4.542,4.628
