,P,Exp P,Log P,Log Exp P
9030551,1.79e-80,1.1220786821769359e-07,79.747,6.95
9030552,2.99e-74,2.2441573643538718e-07,73.524,6.649
9030512,1.71e-61,3.366236046530808e-07,60.767,6.473
9030517,1.9700000000000002e-58,4.4883147287077435e-07,57.706,6.348
9030590,2.13e-47,5.610393410884679e-07,46.672,6.251
9030594,2.76e-46,6.732472093061616e-07,45.559,6.172
9030503,1.62e-41,7.854550775238551e-07,40.79,6.105
9030554,6.120000000000001e-37,8.976629457415487e-07,36.213,6.047
9030478,7.0999999999999995e-34,1.0098708139592423e-06,33.149,5.996
9030556,1.95e-32,1.1220786821769358e-06,31.71,5.95
9030550,1.59e-27,1.2342865503946294e-06,26.799,5.909
9030499,4.21e-26,1.346494418612323e-06,25.376,5.871
9030525,3.2500000000000007e-21,1.4587022868300166e-06,20.488,5.836
9030530,3.660000000000001e-21,1.5709101550477101e-06,20.437,5.804
9030524,5.21e-21,1.6831180232654039e-06,20.283,5.774
9030522,7.620000000000001e-21,1.7953258914830974e-06,20.118,5.746
9030531,1.02e-19,1.907533759700791e-06,18.991,5.72
8918584,1.1e-17,2.0197416279184847e-06,16.959,5.695
8918592,1.11e-17,2.131949496136178e-06,16.955,5.671
8918586,1.12e-17,2.2441573643538717e-06,16.951,5.649
8918613,2.21e-16,2.3563652325715652e-06,15.656,5.628
8918612,9.37e-16,2.4685731007892587e-06,15.028,5.608
175049,1.81e-15,2.5807809690069527e-06,14.742,5.588
9030541,1.06e-14,2.692988837224646e-06,13.975,5.57
9030518,2.26e-14,2.8051967054423397e-06,13.646,5.552
8918558,3.6e-14,2.9174045736600332e-06,13.444,5.535
8918559,3.96e-14,3.0296124418777268e-06,13.402,5.519
9030537,4.96e-14,3.1418203100954203e-06,13.305,5.503
9030526,6.34e-14,3.2540281783131142e-06,13.198,5.488
9030513,1.09e-13,3.3662360465308078e-06,12.963,5.473
9030519,1.09e-13,3.4784439147485013e-06,12.963,5.459
9030539,1.1e-13,3.590651782966195e-06,12.959,5.445
9030521,1.22e-13,3.7028596511838883e-06,12.914,5.431
8918567,1.32e-13,3.815067519401582e-06,12.879,5.418
9030474,4.1e-13,3.927275387619275e-06,12.387,5.406
175039,5.16e-13,4.039483255836969e-06,12.287,5.394
8918593,5.22e-13,4.151691124054662e-06,12.282,5.382
9030476,6.28e-13,4.263898992272356e-06,12.202,5.37
175041,7.56e-13,4.37610686049005e-06,12.121,5.359
8918555,1.26e-12,4.488314728707743e-06,11.9,5.348
9030571,1.63e-12,4.600522596925437e-06,11.788,5.337
9030542,1.86e-12,4.7127304651431304e-06,11.73,5.327
8918595,3.09e-12,4.824938333360824e-06,11.51,5.317
8918572,4.12e-12,4.9371462015785175e-06,11.385,5.307
9030574,4.49e-12,5.0493540697962114e-06,11.348,5.297
