,P,Exp P,Log P,Log Exp P
5891050,1.41e-27,1.1618458198065433e-07,26.851,6.935
5891041,8.119999999999999e-23,2.3236916396130867e-07,22.09,6.634
5891038,1.58e-22,3.48553745941963e-07,21.801,6.458
5891036,1.27e-18,4.6473832792261733e-07,17.896,6.333
5891031,1.6e-18,5.809229099032717e-07,17.796,6.236
5891027,2e-18,6.97107491883926e-07,17.699,6.157
5891025,2.16e-18,8.132920738645803e-07,17.666,6.09
5891030,2.3e-17,9.294766558452347e-07,16.638,6.032
5891052,3.93e-17,1.045661237825889e-06,16.406,5.981
5891034,4.02e-17,1.1618458198065434e-06,16.396,5.935
5891039,5.52e-17,1.2780304017871976e-06,16.258,5.893
5891101,7.81e-17,1.394214983767852e-06,16.107,5.856
5891044,1.77e-16,1.5103995657485065e-06,15.752,5.821
5891104,2.7e-15,1.6265841477291607e-06,14.569,5.789
5891146,3.95e-15,1.7427687297098151e-06,14.403,5.759
5891079,2.85e-14,1.8589533116904693e-06,13.545,5.731
5891114,3.11e-14,1.9751378936711238e-06,13.507,5.704
5891083,7.25e-14,2.091322475651778e-06,13.14,5.68
5891145,2.24e-13,2.2075070576324326e-06,12.65,5.656
5891122,9.29e-13,2.323691639613087e-06,12.032,5.634
5891179,9.41e-13,2.439876221593741e-06,12.026,5.613
5891137,9.7e-13,2.5560608035743953e-06,12.013,5.592
5891066,1.35e-12,2.67224538555505e-06,11.87,5.573
5891069,2.92e-12,2.788429967535704e-06,11.535,5.555
5891158,6.98e-12,2.9046145495163583e-06,11.156,5.537
5891143,1.82e-11,3.020799131497013e-06,10.74,5.52
5891080,5.46e-11,3.136983713477667e-06,10.263,5.503
5891164,3.74e-10,3.2531682954583214e-06,9.427,5.488
5891130,5.14e-10,3.3693528774389756e-06,9.289,5.472
7905813,1.24e-09,3.4855374594196302e-06,8.907,5.458
7905804,1.79e-09,3.6017220414002845e-06,8.747,5.443
7905821,1.92e-09,3.7179066233809387e-06,8.717,5.43
7905803,2.18e-09,3.834091205361593e-06,8.662,5.416
7905802,2.23e-09,3.9502757873422475e-06,8.652,5.403
5891124,2.34e-09,4.066460369322902e-06,8.631,5.391
7905741,2.36e-09,4.182644951303556e-06,8.627,5.379
7905812,2.59e-09,4.298829533284211e-06,8.587,5.367
5891188,2.69e-09,4.415014115264865e-06,8.57,5.355
7905713,3.63e-09,4.531198697245519e-06,8.44,5.344
7905732,3.84e-09,4.647383279226174e-06,8.416,5.333
7905727,4.12e-09,4.7635678612068274e-06,8.385,5.322
7905718,4.37e-09,4.879752443187482e-06,8.36,5.312
7905717,4.61e-09,4.995937025168137e-06,8.336,5.301
7905833,4.77e-09,5.1121216071487905e-06,8.321,5.291
7905817,4.81e-09,5.228306189129445e-06,8.318,5.282
7905816,4.84e-09,5.3444907711101e-06,8.315,5.272
7905831,5.15e-09,5.460675353090754e-06,8.288,5.263
7905828,5.15e-09,5.576859935071408e-06,8.288,5.254
7905819,5.21e-09,5.693044517052063e-06,8.283,5.245
7905829,5.25e-09,5.809229099032717e-06,8.28,5.236
7905830,5.27e-09,5.925413681013371e-06,8.278,5.227
7905806,5.87e-09,6.041598262994026e-06,8.231,5.219
7905753,6e-09,6.15778284497468e-06,8.222,5.211
7905793,6.16e-09,6.273967426955334e-06,8.21,5.202
7905708,6.81e-09,6.390152008935989e-06,8.167,5.194
7905778,8.45e-09,6.506336590916643e-06,8.073,5.187
7905762,8.95e-09,6.622521172897297e-06,8.048,5.179
7905800,9e-09,6.738705754877951e-06,8.046,5.171
7905811,9.55e-09,6.854890336858606e-06,8.02,5.164
7905867,2.02e-08,6.9710749188392605e-06,7.695,5.157
7905836,2.95e-08,7.087259500819914e-06,7.53,5.15
7905834,3.97e-08,7.203444082800569e-06,7.401,5.142
5891183,5.71e-08,7.3196286647812236e-06,7.243,5.136
5891022,6.03e-08,7.435813246761877e-06,7.22,5.129
7905826,6.1e-08,7.551997828742532e-06,7.215,5.122
7905861,6.49e-08,7.668182410723186e-06,7.188,5.115
5891021,6.73e-08,7.78436699270384e-06,7.172,5.109
5891060,6.75e-08,7.900551574684495e-06,7.171,5.102
7905850,8.4e-08,8.01673615666515e-06,7.076,5.096
5891058,8.61e-08,8.132920738645804e-06,7.065,5.09
7905843,8.83e-08,8.249105320626457e-06,7.054,5.084
5891015,8.85e-08,8.365289902607112e-06,7.053,5.078
7905728,1.01e-07,8.481474484587767e-06,6.996,5.072
7905842,1.04e-07,8.597659066568421e-06,6.983,5.066
7905872,1.17e-07,8.713843648549076e-06,6.932,5.06
7905852,1.24e-07,8.83002823052973e-06,6.907,5.054
5891070,1.42e-07,8.946212812510383e-06,6.848,5.048
7905871,2.81e-07,9.062397394491038e-06,6.551,5.043
5891111,4.25e-07,9.178581976471693e-06,6.372,5.037
5891098,4.63e-07,9.294766558452347e-06,6.334,5.032
1960476,4.68e-07,9.410951140433002e-06,6.33,5.026
5891094,4.72e-07,9.527135722413655e-06,6.326,5.021
1237277,4.84e-07,9.64332030439431e-06,6.315,5.016
5891061,5.13e-07,9.759504886374964e-06,6.29,5.011
5891085,5.28e-07,9.875689468355619e-06,6.277,5.005
5891119,5.28e-07,9.991874050336273e-06,6.277,5.0
5891147,5.69e-07,1.0108058632316928e-05,6.245,4.995
5891148,5.7e-07,1.0224243214297581e-05,6.244,4.99
5891134,6.18e-07,1.0340427796278236e-05,6.209,4.985
5891081,6.22e-07,1.045661237825889e-05,6.206,4.981
5891161,6.25e-07,1.0572796960239545e-05,6.204,4.976
5891132,6.26e-07,1.06889815422202e-05,6.203,4.971
5891169,6.3e-07,1.0805166124200854e-05,6.201,4.966
5891133,6.33e-07,1.0921350706181507e-05,6.199,4.962
5891138,6.52e-07,1.1037535288162162e-05,6.186,4.957
5891120,6.55e-07,1.1153719870142816e-05,6.184,4.953
5975311,6.57e-07,1.1269904452123471e-05,6.182,4.948
5891162,6.59e-07,1.1386089034104126e-05,6.181,4.944
1237288,7.62e-07,1.1502273616084779e-05,6.118,4.939
5891065,7.71e-07,1.1618458198065433e-05,6.113,4.935
1237290,7.92e-07,1.1734642780046088e-05,6.101,4.931
5891170,9.06e-07,1.1850827362026743e-05,6.043,4.926
5891129,9.07e-07,1.1967011944007397e-05,6.042,4.922
1237283,9.57e-07,1.2083196525988052e-05,6.019,4.918
1237284,9.94e-07,1.2199381107968705e-05,6.003,4.914
5183653,9.96e-07,1.231556568994936e-05,6.002,4.91
1237300,1.1e-06,1.2431750271930014e-05,5.959,4.905
1237285,1.17e-06,1.2547934853910669e-05,5.932,4.901
5183796,1.24e-06,1.2664119435891323e-05,5.907,4.897
7035157,1.33e-06,1.2780304017871978e-05,5.876,4.893
5891165,1.35e-06,1.2896488599852631e-05,5.87,4.89
1237301,1.39e-06,1.3012673181833286e-05,5.857,4.886
5891181,1.4e-06,1.312885776381394e-05,5.854,4.882
5183735,1.41e-06,1.3245042345794595e-05,5.851,4.878
1237296,1.42e-06,1.336122692777525e-05,5.848,4.874
5184081,1.42e-06,1.3477411509755902e-05,5.848,4.87
5891167,1.43e-06,1.3593596091736557e-05,5.845,4.867
5891017,1.46e-06,1.3709780673717212e-05,5.836,4.863
1237280,1.49e-06,1.3825965255697866e-05,5.827,4.859
1237282,1.55e-06,1.3942149837678521e-05,5.81,4.856
5183723,1.56e-06,1.4058334419659176e-05,5.807,4.852
1237298,1.59e-06,1.4174519001639829e-05,5.799,4.848
