,P,Exp P,Log P,Log Exp P
8489456,1.55e-06,1.1612928999016617e-07,5.81,6.935
8489490,1.6e-06,2.3225857998033235e-07,5.796,6.634
8758126,2e-06,3.483878699704985e-07,5.699,6.458
8758115,2.06e-06,4.645171599606647e-07,5.686,6.333
8758113,2.07e-06,5.806464499508308e-07,5.684,6.236
6988032,2.38e-06,6.96775739940997e-07,5.623,6.157
8758158,2.43e-06,8.129050299311632e-07,5.614,6.09
8758132,2.81e-06,9.290343199213294e-07,5.551,6.032
8758131,2.83e-06,1.0451636099114955e-06,5.548,5.981
8758129,2.88e-06,1.1612928999016617e-06,5.541,5.935
8758183,2.91e-06,1.2774221898918278e-06,5.536,5.894
8758213,2.96e-06,1.393551479881994e-06,5.529,5.856
8758211,2.98e-06,1.5096807698721603e-06,5.526,5.821
8758093,3.04e-06,1.6258100598623265e-06,5.517,5.789
8758244,3.18e-06,1.7419393498524926e-06,5.498,5.759
7528250,4.07e-06,1.8580686398426588e-06,5.39,5.731
8489569,4.54e-06,1.974197929832825e-06,5.343,5.705
8489422,4.61e-06,2.090327219822991e-06,5.336,5.68
8758135,5.73e-06,2.206456509813157e-06,5.242,5.656
8758041,5.77e-06,2.3225857998033233e-06,5.239,5.634
8758160,5.86e-06,2.4387150897934895e-06,5.232,5.613
8758073,5.91e-06,2.5548443797836556e-06,5.228,5.593
8758165,6.13e-06,2.6709736697738218e-06,5.213,5.573
8758171,6.33e-06,2.787102959763988e-06,5.199,5.555
7596190,6.34e-06,2.9032322497541545e-06,5.198,5.537
8758198,6.68e-06,3.0193615397443207e-06,5.175,5.52
8758167,7.22e-06,3.135490829734487e-06,5.141,5.504
8758229,7.45e-06,3.251620119724653e-06,5.128,5.488
8758202,7.5e-06,3.367749409714819e-06,5.125,5.473
8758084,7.77e-06,3.4838786997049852e-06,5.11,5.458
8758188,7.79e-06,3.6000079896951514e-06,5.108,5.444
8758206,7.9e-06,3.7161372796853175e-06,5.102,5.43
8758110,7.97e-06,3.832266569675483e-06,5.099,5.417
8758103,7.98e-06,3.94839585966565e-06,5.098,5.404
8758150,8.07e-06,4.064525149655816e-06,5.093,5.391
8758232,8.22e-06,4.180654439645982e-06,5.085,5.379
8758194,8.32e-06,4.296783729636149e-06,5.08,5.367
8758076,8.39e-06,4.412913019626314e-06,5.076,5.355
8758077,8.4e-06,4.529042309616481e-06,5.076,5.344
7528336,8.41e-06,4.645171599606647e-06,5.075,5.333
5254635,8.7e-06,4.761300889596813e-06,5.06,5.322
2685453,9.48e-06,4.877430179586979e-06,5.023,5.312
9036910,9.62e-06,4.9935594695771456e-06,5.017,5.302
8758107,9.78e-06,5.109688759567311e-06,5.01,5.292
9036913,1e-05,5.225818049557478e-06,5.0,5.282
8489497,1.1e-05,5.3419473395476436e-06,4.959,5.272
3027923,1.12e-05,5.45807662953781e-06,4.951,5.263
3027921,1.15e-05,5.574205919527976e-06,4.939,5.254
3027920,1.17e-05,5.6903352095181424e-06,4.932,5.245
8670467,1.22e-05,5.806464499508309e-06,4.914,5.236
4346655,1.23e-05,5.922593789498475e-06,4.91,5.227
8758123,1.26e-05,6.038723079488641e-06,4.9,5.219
3027927,1.26e-05,6.154852369478807e-06,4.9,5.211
8758128,1.28e-05,6.270981659468974e-06,4.893,5.203
8670487,1.28e-05,6.387110949459139e-06,4.893,5.195
8670469,1.32e-05,6.503240239449306e-06,4.879,5.187
8758114,1.32e-05,6.619369529439472e-06,4.879,5.179
8758065,1.33e-05,6.735498819429638e-06,4.876,5.172
8758199,1.37e-05,6.851628109419804e-06,4.863,5.164
8758172,1.43e-05,6.9677573994099705e-06,4.845,5.157
7596242,1.49e-05,7.083886689400136e-06,4.827,5.15
4075906,1.55e-05,7.200015979390303e-06,4.81,5.143
3027916,1.58e-05,7.3161452693804685e-06,4.801,5.136
607741,1.65e-05,7.432274559370635e-06,4.783,5.129
8758045,1.66e-05,7.548403849360801e-06,4.78,5.122
8670471,1.69e-05,7.664533139350967e-06,4.772,5.116
18178,1.8e-05,7.780662429341134e-06,4.745,5.109
9036919,1.81e-05,7.8967917193313e-06,4.742,5.103
7291616,1.85e-05,8.012921009321465e-06,4.733,5.096
7596264,1.85e-05,8.129050299311633e-06,4.733,5.09
3263094,1.93e-05,8.245179589301799e-06,4.714,5.084
8670475,1.98e-05,8.361308879291964e-06,4.703,5.078
8670474,1.98e-05,8.47743816928213e-06,4.703,5.072
7596262,2.01e-05,8.593567459272297e-06,4.697,5.066
8758009,2.05e-05,8.709696749262463e-06,4.688,5.06
3263109,2.1e-05,8.825826039252629e-06,4.678,5.054
3263102,2.11e-05,8.941955329242795e-06,4.676,5.049
8116400,2.17e-05,9.058084619232962e-06,4.664,5.043
7291615,2.31e-05,9.174213909223128e-06,4.636,5.037
1594908,2.34e-05,9.290343199213293e-06,4.631,5.032
1166330,2.4e-05,9.406472489203459e-06,4.62,5.027
1166304,2.4e-05,9.522601779193627e-06,4.62,5.021
1166329,2.41e-05,9.638731069183792e-06,4.618,5.016
4643922,2.42e-05,9.754860359173958e-06,4.616,5.011
2718316,2.43e-05,9.870989649164125e-06,4.614,5.006
4051327,2.57e-05,9.987118939154291e-06,4.59,5.001
4064027,2.59e-05,1.0103248229144457e-05,4.587,4.996
1166341,2.59e-05,1.0219377519134623e-05,4.587,4.991
4643891,2.62e-05,1.033550680912479e-05,4.582,4.986
4722624,2.71e-05,1.0451636099114956e-05,4.567,4.981
3027937,2.72e-05,1.0567765389105121e-05,4.565,4.976
4051316,2.72e-05,1.0683894679095287e-05,4.565,4.971
607756,2.76e-05,1.0800023969085455e-05,4.559,4.967
5254669,2.77e-05,1.091615325907562e-05,4.558,4.962
8116401,2.82e-05,1.1032282549065786e-05,4.55,4.957
5254664,2.88e-05,1.1148411839055952e-05,4.541,4.953
1166295,2.88e-05,1.126454112904612e-05,4.541,4.948
9036926,2.9e-05,1.1380670419036285e-05,4.538,4.944
1520436,2.94e-05,1.149679970902645e-05,4.532,4.939
9205487,2.99e-05,1.1612928999016618e-05,4.524,4.935
3374180,3.09e-05,1.1729058289006784e-05,4.51,4.931
4051287,3.14e-05,1.184518757899695e-05,4.503,4.926
3028017,3.16e-05,1.1961316868987115e-05,4.5,4.922
3263112,3.18e-05,1.2077446158977283e-05,4.498,4.918
3027966,3.18e-05,1.2193575448967448e-05,4.498,4.914
1714829,3.19e-05,1.2309704738957614e-05,4.496,4.91
3027913,3.21e-05,1.242583402894778e-05,4.493,4.906
7596360,3.25e-05,1.2541963318937947e-05,4.488,4.902
6296417,3.26e-05,1.2658092608928113e-05,4.487,4.898
3027963,3.26e-05,1.2774221898918279e-05,4.487,4.894
5793635,3.27e-05,1.2890351188908444e-05,4.485,4.89
3028024,3.28e-05,1.3006480478898612e-05,4.484,4.886
3028022,3.29e-05,1.3122609768888777e-05,4.483,4.882
