,P,Exp P,Log P,Log Exp P
7406219,1.87e-07,1.1621727190878618e-07,6.728,6.935
7406194,2.13e-07,2.3243454381757236e-07,6.672,6.634
7406218,2.15e-07,3.4865181572635855e-07,6.668,6.458
3978625,9.66e-07,4.648690876351447e-07,6.015,6.333
8572519,1.03e-06,5.810863595439309e-07,5.987,6.236
7406191,1.14e-06,6.973036314527171e-07,5.943,6.157
1177686,1.21e-06,8.135209033615032e-07,5.917,6.09
7404881,1.41e-06,9.297381752702894e-07,5.851,6.032
1177512,2.42e-06,1.0459554471790756e-06,5.616,5.98
8093877,2.69e-06,1.1621727190878618e-06,5.57,5.935
1177769,2.92e-06,1.278389990996648e-06,5.535,5.893
1177726,3.02e-06,1.3946072629054342e-06,5.52,5.856
1177705,3.05e-06,1.5108245348142202e-06,5.516,5.821
1177721,3.08e-06,1.6270418067230064e-06,5.511,5.789
7406212,3.21e-06,1.7432590786317927e-06,5.493,5.759
7405725,3.35e-06,1.8594763505405789e-06,5.475,5.731
7405741,3.43e-06,1.975693622449365e-06,5.465,5.704
7405747,3.44e-06,2.091910894358151e-06,5.463,5.679
1177776,3.47e-06,2.2081281662669373e-06,5.46,5.656
8093851,3.48e-06,2.3243454381757235e-06,5.458,5.634
1177828,3.59e-06,2.4405627100845098e-06,5.445,5.613
2127665,3.63e-06,2.556779981993296e-06,5.44,5.592
7404996,3.71e-06,2.672997253902082e-06,5.431,5.573
1177700,3.75e-06,2.7892145258108684e-06,5.426,5.555
2128048,3.77e-06,2.9054317977196542e-06,5.424,5.537
8093941,3.86e-06,3.0216490696284404e-06,5.413,5.52
7209795,3.93e-06,3.1378663415372267e-06,5.406,5.503
1177571,3.99e-06,3.254083613446013e-06,5.399,5.488
5202020,4.29e-06,3.370300885354799e-06,5.368,5.472
7405785,4.57e-06,3.4865181572635853e-06,5.34,5.458
7405772,4.69e-06,3.6027354291723715e-06,5.329,5.443
890681,4.69e-06,3.7189527010811578e-06,5.329,5.43
7405022,4.71e-06,3.8351699729899436e-06,5.327,5.416
7405617,4.79e-06,3.95138724489873e-06,5.32,5.403
5202096,4.86e-06,4.067604516807516e-06,5.313,5.391
1177545,4.96e-06,4.183821788716302e-06,5.305,5.378
7405125,5.05e-06,4.3000390606250884e-06,5.297,5.367
7405602,5.1e-06,4.416256332533875e-06,5.292,5.355
7405607,5.1e-06,4.532473604442661e-06,5.292,5.344
7405572,5.12e-06,4.648690876351447e-06,5.291,5.333
7405501,5.15e-06,4.764908148260233e-06,5.288,5.322
7405502,5.15e-06,4.8811254201690195e-06,5.288,5.311
7405045,5.2e-06,4.997342692077806e-06,5.284,5.301
7405486,5.29e-06,5.113559963986592e-06,5.277,5.291
7405531,5.29e-06,5.229777235895378e-06,5.277,5.282
2127584,5.33e-06,5.345994507804164e-06,5.273,5.272
5202120,5.47e-06,5.462211779712951e-06,5.262,5.263
7405609,5.54e-06,5.578429051621737e-06,5.256,5.253
1177723,5.55e-06,5.694646323530523e-06,5.256,5.245
5202116,5.64e-06,5.8108635954393084e-06,5.249,5.236
5202118,5.64e-06,5.927080867348095e-06,5.249,5.227
7405271,5.86e-06,6.043298139256881e-06,5.232,5.219
7405246,5.86e-06,6.159515411165667e-06,5.232,5.21
7405313,5.88e-06,6.275732683074453e-06,5.231,5.202
7405128,5.9e-06,6.3919499549832395e-06,5.229,5.194
7405310,5.91e-06,6.508167226892026e-06,5.228,5.187
7404685,5.91e-06,6.624384498800812e-06,5.228,5.179
7405377,5.95e-06,6.740601770709598e-06,5.225,5.171
7405405,5.97e-06,6.8568190426183844e-06,5.224,5.164
7405351,5.99e-06,6.973036314527171e-06,5.223,5.157
8926422,6.08e-06,7.089253586435957e-06,5.216,5.149
