,P,Exp P,Log P,Log Exp P
8355741,9.61e-25,1.1009796516940774e-07,24.017,6.958
8355719,1.51e-24,2.201959303388155e-07,23.821,6.657
8355723,2.22e-24,3.3029389550822323e-07,23.654,6.481
8355724,2.49e-24,4.40391860677631e-07,23.604,6.356
8355733,2.59e-24,5.504898258470387e-07,23.587,6.259
8355714,2.9399999999999998e-24,6.605877910164465e-07,23.532,6.18
8355838,3.5399999999999995e-24,7.706857561858542e-07,23.451,6.113
8355828,4.399999999999999e-24,8.80783721355262e-07,23.357,6.055
8355751,8.13e-24,9.908816865246697e-07,23.09,6.004
8355766,1.08e-23,1.1009796516940773e-06,22.967,5.958
8355816,2.16e-23,1.2110776168634851e-06,22.666,5.917
8355809,2.17e-23,1.321175582032893e-06,22.664,5.879
8355836,2.28e-23,1.4312735472023005e-06,22.642,5.844
8355793,2.9e-23,1.5413715123717083e-06,22.538,5.812
8355833,3.03e-23,1.651469477541116e-06,22.519,5.782
8355776,3.08e-23,1.761567442710524e-06,22.511,5.754
8355888,8.29e-22,1.8716654078799315e-06,21.081,5.728
8355851,1.41e-21,1.9817633730493395e-06,20.851,5.703
8355822,2.2700000000000004e-21,2.091861338218747e-06,20.644,5.679
8355843,2.45e-21,2.2019593033881547e-06,20.611,5.657
8355829,2.9900000000000004e-21,2.3120572685575627e-06,20.524,5.636
8355859,3.930000000000001e-21,2.4221552337269703e-06,20.406,5.616
8355860,4.34e-21,2.532253198896378e-06,20.363,5.596
8355868,4.7e-21,2.642351164065786e-06,20.328,5.578
8355882,7.14e-21,2.7524491292351934e-06,20.146,5.56
8355870,9.17e-21,2.862547094404601e-06,20.038,5.543
8355894,1.23e-20,2.972645059574009e-06,19.91,5.527
8355827,2.17e-20,3.0827430247434166e-06,19.664,5.511
8355832,2.89e-20,3.1928409899128246e-06,19.539,5.496
8355846,4.46e-19,3.302938955082232e-06,18.351,5.481
8355845,4.99e-19,3.41303692025164e-06,18.302,5.467
8355818,5.25e-19,3.523134885421048e-06,18.28,5.453
8355847,5.33e-19,3.6332328505904554e-06,18.273,5.44
8355848,5.5e-19,3.743330815759863e-06,18.26,5.427
8355819,5.7e-19,3.8534287809292706e-06,18.244,5.414
8355820,5.95e-19,3.963526746098679e-06,18.225,5.402
8355850,6.5e-19,4.073624711268087e-06,18.187,5.39
8355853,2.16e-18,4.183722676437494e-06,17.666,5.378
8355763,2.9e-18,4.293820641606902e-06,17.538,5.367
8355769,4.7e-18,4.403918606776309e-06,17.328,5.356
8355696,5.63e-18,4.514016571945717e-06,17.249,5.345
8355758,5.68e-18,4.624114537115125e-06,17.246,5.335
8355722,6.15e-18,4.734212502284533e-06,17.211,5.325
8355708,6.8e-18,4.8443104674539405e-06,17.167,5.315
8355728,7.14e-18,4.954408432623348e-06,17.146,5.305
8355712,7.42e-18,5.064506397792756e-06,17.13,5.295
8355771,7.69e-18,5.174604362962164e-06,17.114,5.286
8355707,8.01e-18,5.284702328131572e-06,17.096,5.277
8355753,8.08e-18,5.394800293300979e-06,17.093,5.268
