,P,Exp P,Log P,Log Exp P
6220349,3.86e-17,1.101157261223683e-07,16.413,6.958
6220337,1.43e-15,2.202314522447366e-07,14.845,6.657
6220340,2.23e-15,3.303471783671049e-07,14.652,6.481
6220338,3.76e-14,4.404629044894732e-07,13.425,6.356
6220343,2.73e-13,5.505786306118415e-07,12.564,6.259
6220369,4.32e-12,6.606943567342098e-07,11.365,6.18
6220366,5.68e-12,7.708100828565781e-07,11.246,6.113
6220330,1.57e-11,8.809258089789464e-07,10.804,6.055
6220324,1.72e-11,9.910415351013148e-07,10.764,6.004
6220335,1.72e-11,1.101157261223683e-06,10.764,5.958
6220326,2.03e-11,1.2112729873460514e-06,10.693,5.917
6220414,2.86e-11,1.3213887134684196e-06,10.544,5.879
6220333,4.29e-11,1.431504439590788e-06,10.368,5.844
6220383,5.17e-11,1.5416201657131562e-06,10.287,5.812
6220329,5.34e-11,1.6517358918355246e-06,10.272,5.782
6220401,8.27e-11,1.7618516179578928e-06,10.082,5.754
6220380,9.69e-11,1.8719673440802612e-06,10.014,5.728
6220351,1.42e-10,1.9820830702026296e-06,9.848,5.703
6220404,4.04e-10,2.0921987963249976e-06,9.394,5.679
6220445,9.17e-10,2.202314522447366e-06,9.038,5.657
6220379,1.47e-09,2.3124302485697344e-06,8.833,5.636
6220446,2.17e-09,2.422545974692103e-06,8.664,5.616
6220479,2.81e-09,2.5326617008144708e-06,8.551,5.596
6220437,4.88e-09,2.642777426936839e-06,8.312,5.578
6220422,5.07e-09,2.7528931530592076e-06,8.295,5.56
6220443,8.29e-09,2.863008879181576e-06,8.081,5.543
6220458,2.26e-08,2.9731246053039444e-06,7.646,5.527
6220424,4.45e-08,3.0832403314263124e-06,7.352,5.511
6220430,1.13e-07,3.1933560575486808e-06,6.947,5.496
6220464,1.55e-07,3.303471783671049e-06,6.81,5.481
6220321,2.86e-07,3.4135875097934176e-06,6.544,5.467
6220320,3.03e-07,3.5237032359157856e-06,6.519,5.453
6220314,3.53e-07,3.633818962038154e-06,6.452,5.44
6220370,4.52e-07,3.7439346881605224e-06,6.345,5.427
6309368,5.67e-07,3.85405041428289e-06,6.246,5.414
6220359,5.95e-07,3.964166140405259e-06,6.225,5.402
6220360,6.94e-07,4.074281866527627e-06,6.159,5.39
6220357,6.99e-07,4.184397592649995e-06,6.156,5.378
380396,7.4e-07,4.294513318772364e-06,6.131,5.367
6220371,8.59e-07,4.404629044894732e-06,6.066,5.356
6220365,1.04e-06,4.514744771017101e-06,5.983,5.345
8737280,1.35e-06,4.624860497139469e-06,5.87,5.335
8737327,1.41e-06,4.734976223261837e-06,5.851,5.325
8737364,1.51e-06,4.845091949384206e-06,5.821,5.315
380419,1.52e-06,4.9552076755065736e-06,5.818,5.305
6220363,1.72e-06,5.0653234016289415e-06,5.764,5.295
6220488,2.05e-06,5.17543912775131e-06,5.688,5.286
380639,2.21e-06,5.285554853873678e-06,5.656,5.277
380442,2.3e-06,5.395670579996047e-06,5.638,5.268
1737903,2.37e-06,5.505786306118415e-06,5.625,5.259
3619305,2.37e-06,5.615902032240783e-06,5.625,5.251
1737890,2.38e-06,5.726017758363152e-06,5.623,5.242
6220433,2.47e-06,5.83613348448552e-06,5.607,5.234
6220434,2.48e-06,5.946249210607889e-06,5.606,5.226
380541,2.49e-06,6.056364936730257e-06,5.604,5.218
6220411,2.58e-06,6.166480662852625e-06,5.588,5.21
6220429,2.59e-06,6.2765963889749936e-06,5.587,5.202
6220432,2.67e-06,6.3867121150973616e-06,5.573,5.195
8737356,2.92e-06,6.4968278412197295e-06,5.535,5.187
6220385,2.92e-06,6.606943567342098e-06,5.535,5.18
3619318,2.95e-06,6.717059293464466e-06,5.53,5.173
8737363,2.97e-06,6.827175019586835e-06,5.527,5.166
8737339,2.97e-06,6.937290745709203e-06,5.527,5.159
380554,3.02e-06,7.047406471831571e-06,5.52,5.152
8737359,3.06e-06,7.15752219795394e-06,5.514,5.145
6220398,3.06e-06,7.267637924076308e-06,5.514,5.139
6220394,3.12e-06,7.377753650198676e-06,5.506,5.132
8737352,3.33e-06,7.487869376321045e-06,5.478,5.126
6220381,3.38e-06,7.597985102443413e-06,5.471,5.119
732963,3.44e-06,7.70810082856578e-06,5.463,5.113
380511,3.49e-06,7.81821655468815e-06,5.457,5.107
3619301,3.56e-06,7.928332280810518e-06,5.449,5.101
6220419,3.83e-06,8.038448006932886e-06,5.417,5.095
8737335,3.96e-06,8.148563733055254e-06,5.402,5.089
6309407,4.04e-06,8.258679459177623e-06,5.394,5.083
6220420,4.06e-06,8.36879518529999e-06,5.391,5.077
732877,4.3e-06,8.478910911422359e-06,5.367,5.072
6220418,4.61e-06,8.589026637544728e-06,5.336,5.066
6220393,4.8e-06,8.699142363667095e-06,5.319,5.061
732911,4.87e-06,8.809258089789464e-06,5.312,5.055
6220413,4.89e-06,8.919373815911833e-06,5.311,5.05
8737417,4.91e-06,9.029489542034202e-06,5.309,5.044
6220416,5.13e-06,9.139605268156569e-06,5.29,5.039
6220408,5.25e-06,9.249720994278938e-06,5.28,5.034
6220388,5.28e-06,9.359836720401306e-06,5.277,5.029
7219355,5.28e-06,9.469952446523674e-06,5.277,5.024
6220389,5.34e-06,9.580068172646042e-06,5.272,5.019
